normal,t,uniform,gamma
-3.812561064970695,-3.743135327553711,-4.414136997321317,-4.487189638657765
-3.751786068014101,-3.5771902847933568,-4.219366017468585,-4.474237000622009
-3.7324958602266873,-3.1056904181865486,-4.178821707665677,-4.414356884804431
-3.4661490672454542,-3.021332443851355,-4.0424218039863735,-4.18778419675165
-3.3884447121698056,-2.9224880103881326,-3.8815216860539543,-4.103033646043677
-3.381785777880311,-2.7617951985421723,-3.634681167774703,-4.099313647481907
-3.3630668791803737,-2.568110586230286,-3.490086251797492,-4.065593777947733
-3.2960117211400353,-2.5616047430430533,-3.2598578168865573,-3.987339273666797
-3.2509246295831895,-2.0311828907311558,-3.210818707105381,-3.962992514353163
-2.953258302448811,-1.854364307566205,-3.1647783017157316,-3.9559719647068796
-2.6672169732970907,-1.8382211106414754,-3.1423119115352667,-3.79291345505289
-2.6526527090108756,-1.8278036582358423,-3.114492325179517,-3.7772102998681474
-2.4010146908919965,-1.8080054474190466,-3.0815467219101684,-3.6810310692928567
-2.3566305717075755,-1.4203067429913876,-3.068135493804966,-3.6203836394617865
-2.325247662838591,-1.3855337431118706,-2.9706935301296102,-3.5794330947445996
-2.1456294940586074,-1.3709376270326858,-2.7570097480280573,-3.483836837341154
-2.0730902246818026,-1.3382934944277585,-2.6970540159735594,-3.37846894912859
-1.9893638971720136,-1.1448631195038759,-2.682565457420176,-3.325096655829837
-1.8241174054285945,-1.1410090778190443,-2.6003196089757807,-3.2990906456915914
-1.7876141577121774,-0.8616856069613886,-2.5806724771236333,-3.2838764555687567
-1.7703995508455188,-0.7518839523076705,-2.4698276332108677,-3.2476170465064595
-1.6336470606990214,-0.6290890451134581,-2.0783881634228227,-3.1879685578095702
-1.602977338870732,-0.5591111927949438,-1.9099474337865292,-3.138877195008872
-1.4353285276942507,-0.5339409781459445,-1.8815079547838873,-3.100407299865941
-1.3797346983700007,-0.5169359656810317,-1.7616043608352085,-2.9105327053510828
-1.3065679567935053,-0.5064394038254726,-1.5642262972081302,-2.909872182058569
-1.258938086576098,-0.45062274207074526,-1.319417320559152,-2.7756276188181195
-1.2559188561779397,-0.3439423337262962,-1.2879402135200646,-2.6921939160950603
-0.9570406202915598,-0.33427784621699214,-1.070234692853227,-2.688212698428214
-0.800407378724094,-0.3217195608632581,-0.9277507709158322,-2.627684870306821
-0.6973781883816971,-0.2900759927555278,-0.9105863003775233,-2.5919954110777077
-0.6676556988289484,-0.12214606898675451,-0.5943450977853572,-2.4613910037919333
-0.5567275953004489,0.03617082473034408,-0.5065871720553532,-2.457779357172977
-0.5181935803223944,0.09642967674820292,-0.4942666556299274,-2.34679407368877
-0.44518767496350964,0.1655318685080567,-0.34343591441237165,-2.1972947080264498
-0.17017619836087627,0.27591197708088216,-0.0714116968605272,-2.1703237594546962
-0.10043372664499842,0.40949731072730944,0.19563229099020527,-2.147931883753915
0.04297968810559537,0.4495125934200747,0.22764083490126508,-2.11594374716997
0.18216166819581098,0.45658012135863246,0.2746738303404664,-2.0835826409930185
0.24398709414614403,0.47549638335884664,0.38056706840124555,-2.0201730498857224
0.2461823892047665,0.4782785053579782,0.6604272537222101,-2.0128397539135694
0.28615698417535834,0.5290246012674735,0.6747521181830263,-1.9791323122253555
0.3570737689932807,0.6173120656144344,1.1847406370712734,-1.965342997155656
0.3896032374711267,0.6322171361495375,1.2837375829391504,-1.9547040155584603
0.5997960164893327,0.6537329604850752,1.4223481154600457,-1.9109937233901326
0.6084983700073382,0.6752362103789804,1.5634488169922676,-1.7455181147027854
0.6982162419072504,0.7336159958214533,1.5884378199584337,-1.7444133192675175
0.701461980088455,0.7838220323893266,1.6672453983384692,-1.7353275961792742
0.9407946206922084,0.9062648150817053,1.7943289451755817,-1.6359662773695876
0.9931286802255068,0.9119687236946938,1.921288121859095,-1.5690495419984702
1.0138223480179285,0.9463895317574345,1.9489795103833258,-1.4499917882732116
1.1434339752870841,0.9596869544400132,2.607731395478896,-1.4316839907245382
1.1643234036530778,1.0274303623867278,2.6225084655858115,-1.4237772654464356
1.2732855324179009,1.0590995197920925,2.670903802462689,-1.3167123467265898
1.2872911441660428,1.0946779125260524,2.6878525077752413,-1.3149751299592207
1.2888657285029819,1.0969375359838964,2.7231171096896833,-1.1294476065572705
1.39046405031508,1.1047267370503042,2.7639332745650607,-0.9890102943166929
1.4979151622280482,1.1744036372146915,2.940572245064917,-0.9779420149081174
1.611360147146378,1.2972142611077726,3.1100078622888727,-0.944759328422808
1.8061873250758476,1.385454827545416,3.111668010578237,-0.9069308780365021
2.045080367430149,1.4425368648674641,3.5507398256161338,-0.7965431198422733
2.393534323507921,1.4659790318920043,3.612445482490721,-0.5242675841030217
2.5221813985373025,1.4906765454915993,3.803923166248087,-0.484464560559783
2.5863273106432,1.5894527224140018,4.001244019154251,-0.40492214434853296
2.7051888046284174,1.706506224929495,4.019994484428844,-0.3248180092202827
2.7474963691058925,1.8235021851826059,4.058542545638923,-0.2991380371081219
2.853380150507634,2.0163457960702496,4.3576039443481305,-0.27029979619607586
2.8921020970290785,2.250637985811677,4.4315724455004855,-0.06838315323668545
2.89485619820568,2.252901624609324,4.737024956904945,0.07689634610193763
2.909939997253229,2.2989322594295176,4.779272352296867,0.2890625186124513
3.059301992004766,2.362363375712312,4.978307222385762,0.31898637611581326
3.2860636590217416,2.3627351712889535,5.137529299687199,0.34419166547942537
3.4228626268105176,2.4593957748893565,5.1804930214025,0.42719605995888915
3.4865144200392746,2.528306332929906,5.284756531235298,0.5481284758088181
3.5038721313100742,2.5825700387278805,5.326912527439525,0.5607766865941813
3.513757358197571,2.60792648492909,5.477260177586409,0.651170117782346
3.591210662203263,2.623481511828014,5.508749192958135,0.7770871388967666
3.623096548492173,2.6782923465617547,5.52161632012102,0.9480454420613249
3.6821890059000895,2.989531222356763,5.907582272913241,0.9578169593645525
3.712564033272732,2.993454458060506,6.046998409211,0.9815592972202868
3.723664875374899,3.0191547754143127,6.272030218455203,0.9905243036678014
3.7419735860064933,3.1156839602247755,6.301350620664001,1.170230659648704
3.7454938944956266,3.393875486296347,6.449648692060497,1.5350320939976787
3.796659961685248,3.408019716651807,6.488365461504378,1.5490314305689261
3.828004636219161,3.5505271751571303,6.542833747017548,1.6613041474292325
3.882481873835675,3.550695119486714,6.766290678175174,1.6652344536993153
3.9844971743102904,3.7518600166031395,6.8892340892798885,1.6985895731024843
4.005214042817001,3.7682268621353217,7.018301641703885,1.7812079490139285
4.115734840447349,3.8863556135585693,7.111019030554488,1.8448171835570404
4.160418817786392,3.989022915737625,7.180638656328683,1.9984567321352245
4.349476456943595,4.118588709265724,7.384985197011568,2.0644237070900977
4.378258114030098,4.16445532086134,7.508224240872533,2.134412518288121
4.536337591212394,4.24726906162647,7.7101142243519885,2.287512385664566
4.658854704082783,4.264780269647156,7.780446063174983,2.337907195260784
4.931894208868667,4.301957790808732,7.783879550353687,2.4005551017004905
4.953996548992421,4.359071265948026,7.826073255773976,2.5119911583212247
4.960135876424651,4.545818049084625,7.869586428433579,2.523880027083462
5.113609917606789,4.575254510963158,8.061343395643535,2.799816972266496
5.486764472566975,4.700217282496696,8.425667842316104,3.1102413438323007
5.550348511615063,4.880567876740022,8.508860540298905,3.1616755800306477
5.809068614974205,4.936091337010356,8.549636768289714,3.2463429185246966
5.824413299859385,5.005755536435688,8.668199810917963,3.287080451476564
5.861387281900924,5.266927258382203,8.694957836159098,3.3052165606373913
5.972829932493363,5.368539114597053,8.743795595543244,3.5714961780454306
6.070761110699882,5.381751410423071,8.773010249027518,3.588969498033545
6.121726260214993,5.500944546586498,8.775781726061151,3.8317773473495453
6.256502433313207,5.593813971259883,8.798376685899198,3.83802109615845
6.272942256667987,5.760276747454782,8.816292993002842,4.024428280517336
6.443133162412097,5.95017685083378,8.833946399822473,4.083125205325884
6.484489537974445,6.299978652023322,8.844967963002121,4.260152978719938
6.489233611729644,6.308316194227944,9.050172302121842,4.298302209350359
6.536065600344631,6.346287172711177,9.400564257100646,4.501423383328077
6.618244429766074,6.413436946160072,9.419697389653921,4.6095178310976435
6.635438236873592,6.740465540750486,9.447636304321277,4.6667823412247476
6.667519663598932,6.986349275856821,9.704876924084758,4.677689923320705
6.785677043610337,7.034349571023174,9.723444111743174,4.786124740145504
7.010693176648132,7.0769294063987935,9.75281195639658,5.061123623478087
7.329940913642749,7.282912013828804,9.782267911147,5.417091462131118
7.437393816154447,7.470910162476594,9.783460730673715,5.464734271260426
7.494351916860452,8.120059040342836,9.848987637121827,5.588737725848842
7.531403390947866,8.12977207496909,9.887942704056064,5.9082227090876485
7.582666043754918,8.135117602074791,9.951878455594425,6.210582477177623
7.743837349041055,8.16797610771938,9.953797586390301,6.2148715405717105
7.95416742342532,8.19782631607083,9.99372922422333,6.5969113758285625
8.162609464617264,8.382193596976295,10.058408077727659,6.63166294521409
8.287198443714384,8.590172717795015,10.156925011606976,6.747245713091512
8.363201011666982,8.60291650925713,10.395305979612694,6.8374943409922455
8.726848861521951,9.287078315010538,10.406894520564245,6.847582199900549
8.778994004648913,9.392343255838696,10.494010335198972,7.103958830505382
8.820307529094746,9.554549221197574,10.65268453237736,7.186034558406923
8.927031838793841,9.698532476695037,10.705599719983852,7.528200977036457
8.940500870639074,9.934065699385675,10.744815205061094,7.542298311047903
9.163072932119864,10.10048063871464,10.949949393412577,7.6025840352096585
9.190778309801967,10.164212471601594,11.030713876436867,7.658206942964122
9.212451501623333,10.200339612920796,11.13238686798173,7.676107827049138
9.219122928860632,10.222116720933556,11.153357910149257,7.733557679289232
9.412070518464388,10.391828687703867,11.192827666113152,7.8103588874350605
9.48444304590173,10.594972811633765,11.28201703491968,8.009465235237773
9.505417812238345,10.65459682973276,11.302414403182844,8.337519290653885
9.919474704712549,10.757368083651247,11.312052837285233,8.618985381805581
10.262024622035819,10.841806281735662,11.3773357751333,8.965059038438927
10.513516898201935,11.115934398140261,11.428581170727218,9.130304310275154
10.713786484970033,11.417908678672347,11.45736802325809,9.141599833981504
10.887231767565233,11.616569614414953,11.508050953590267,9.225599842724428
10.983360691174314,11.624899157152422,11.558127095661847,9.396181000295158
11.085843223767935,11.737081477449108,11.688428321212257,9.750287063505578
11.110918857297431,11.85165867657292,11.889728879907214,9.875674605516169
11.240137037260938,11.929274841270953,12.145829616122876,9.896312490903837
11.504431747617506,12.113705697315623,12.322852399998443,10.715951557019919
11.59686913197232,12.178651289803671,12.330947252580799,10.796792103055077
11.74026912796182,12.367358910421164,12.509201164658075,10.965781750458989
11.827862106819264,12.894482632405506,12.528324381284495,11.47327128557151
11.940780722483888,12.901472655725609,12.620947383290336,11.675292946131194
12.019181842184912,12.93534576330956,12.630953327428774,11.821641810925087
12.734235853633402,12.970132001504302,12.715262309670596,12.868190309965337
12.979460545503533,12.989004867525718,12.815378642614238,13.173562019139808
13.080809995275,13.431879964391078,12.837310352019236,13.818691594332204
14.257440383941102,13.868501465976701,13.108124306454382,14.337155588425825
14.408187292494745,13.922978264125865,13.135890952999421,14.9696427216621
14.519669323999144,13.971697311807034,13.170277761508398,15.491225818526457
14.596989122204189,14.083968693113349,13.365769698082552,15.720735120827765
14.655217079780256,14.190269049136495,13.424705804712378,15.766855431680431
14.659268951486162,14.32096036829454,13.665229399560108,15.88738300710794
15.041947272741552,14.361550326798735,13.791663375276396,16.05069883122186
15.077900457166738,14.42891123204814,13.810711698152431,16.516111389018842
15.144229351437065,14.437502824464811,13.925645340788439,16.576452144044715
16.846316917130483,14.46968860166117,14.02198169164868,16.776183172999534
17.353057776183952,14.632617059295272,14.055378311207292,18.081751388717716
17.57108634921669,15.116562442406936,14.124102122666454,18.794069856715314
18.204574421309655,15.579816592054446,14.142666733165044,18.80797527971714
18.387388827832023,15.7845592783225,14.594316721046553,20.12847805364059
18.387398523798137,15.96252720506676,14.6738961507958,20.78905190020391
18.5432066197972,16.360453061534677,15.114051320968176,21.14485122173832
18.67050213549592,16.581419287750023,15.153133498106081,21.635385382954375
18.8121605592367,16.953569935151652,15.180909385738877,22.031042294121114
18.940841047705746,17.05628821426228,15.189109366729475,22.673341290562583
19.00669513671997,17.33462679167968,15.630120454035566,22.733548450932425
19.14748771532806,17.56233389937975,15.802051728965727,22.805218304510646
19.21897967288877,17.679580286469292,15.810763906449134,22.940396269849547
19.270312802468737,17.73701527828362,15.812588082000481,23.951435402124925
20.35535737730918,19.034198656204353,15.85095220253811,25.51335924708608
21.342096243383025,19.421089706992365,15.921753642932936,26.13139843632529
22.11812450361174,19.94930081897885,15.933599271617032,30.944846746787334
22.302152956894588,20.271300315109393,16.140617119175968,37.00018532902308
22.406536484300844,21.072822188395076,16.193136415549787,37.907684199601455
22.747917805985804,22.01815096017439,16.451933433271194,39.18849242338875
23.539643330106117,27.57614180365099,16.457701905467754,42.76449646998039
