normal,t,uniform,gamma
-9.71178246096298,-9.708858202737519,-11.45192732919742,-8.730192153714121
-9.703073812005197,-9.68273314901624,-11.369772761843262,-8.684827082844649
-9.633876191136553,-9.675142281971334,-11.2918853662013,-8.592321609407517
-9.495069521615171,-9.457195424321124,-11.27903764266632,-8.563242166286232
-9.419409843062246,-9.313448691528443,-11.155640918536529,-8.54904827448394
-9.376309693159477,-9.218678636381304,-11.017065612967825,-8.51947655619396
-9.368641665870562,-8.934828220744112,-11.0057005932126,-8.510133333764683
-9.21871711662931,-8.690031872804283,-10.80180476855518,-8.490064326121868
-9.173595655997785,-8.568503819973774,-10.757575574629803,-8.454802829454005
-8.912451559997391,-8.464681979342917,-10.663179113105999,-8.45305058451489
-8.899254874509163,-8.417540058169914,-10.65510585195799,-8.424813925227463
-8.89627336653145,-8.228811590212638,-10.629398321465828,-8.364810018220632
-8.823734804611693,-8.209974693206766,-10.627939529191423,-8.341416772572511
-8.773424861657617,-8.202724027527564,-10.528974833869494,-8.339495193117624
-8.657204045457418,-8.193341930988046,-10.402520375602919,-8.240651382902742
-8.635207308938975,-7.853086381581261,-10.360910017731058,-8.221690963367495
-8.62795252751302,-7.8342728724723045,-10.145668329419282,-8.067350273250009
-8.624289582310602,-7.7893086895909125,-10.139080020747722,-8.062603748853315
-8.510396159182216,-7.767944960645342,-10.087677705095397,-8.016134467513984
-8.45430247771071,-7.711425588224684,-10.044049385530515,-8.005010847634539
-8.33447205783338,-7.669179402471711,-10.042628452818164,-8.004386571552622
-8.104938932842082,-7.612265956578153,-10.030784547565974,-7.939618497644753
-8.095595128361259,-7.582254755806545,-10.026943873200072,-7.923226425045885
-8.003791882401703,-7.468106627656668,-9.885487264068608,-7.88763170023715
-8.001811804021484,-7.451333642447706,-9.800163616409089,-7.700677251036692
-7.921257681681992,-7.369610167473414,-9.729176521293626,-7.682978566456947
-7.893974525720193,-7.351397282735714,-9.722031352016895,-7.476486520857952
-7.848596376807184,-7.173242077247034,-9.700330067838562,-7.4285469090458
-7.771923648749279,-7.172672707235163,-9.63392054439716,-7.345547842197488
-7.730443567660724,-7.09010298149289,-9.593859149692289,-7.303110184225288
-7.7056902692780325,-6.974454818605955,-9.53190041959999,-7.297623161905763
-7.685799506852255,-6.972309931674701,-9.352793091768062,-7.293865891722854
-7.676542826016605,-6.936617788369492,-9.32108184213519,-7.270414708619329
-7.65988110389033,-6.885065554115775,-9.31038952548048,-7.1188976045646655
-7.4270124631711445,-6.855046984269765,-9.307435383529128,-7.099928014007694
-7.3886078783012,-6.840115320518495,-9.194027050704976,-7.0749385122825315
-7.383051714432835,-6.702368486153194,-9.193119430111997,-7.065145170096906
-7.22800775488933,-6.635684207820472,-9.060827083781998,-7.038448121282041
-7.094121703594202,-6.506408689332453,-9.053659488885542,-7.030343372995814
-7.079406968488672,-6.3675888023654075,-8.982220437001324,-7.03032324216843
-7.017784572015671,-6.3389128408754605,-8.782813091751494,-7.02145910192103
-6.81778668930318,-6.323608682559487,-8.76047266672558,-6.995097792833738
-6.511158024498636,-6.2310438723570885,-8.68468190768101,-6.98297609895127
-6.4979454248048825,-6.215542619890653,-8.683965320329047,-6.980529023546027
-6.492567060866402,-6.191440685571694,-8.677055776388693,-6.9791636836872515
-6.483265344046883,-6.1869374578776615,-8.645072955543755,-6.963037490362049
-6.4812066113231515,-6.157096707022105,-8.622964429629945,-6.962118845095353
-6.314426547404533,-6.061045685268001,-8.501680177145921,-6.955947570946993
-6.2550154568223455,-6.014018517483285,-8.473698426331024,-6.924183480970761
-6.248131602755601,-5.916628632146262,-8.44551039329941,-6.9002590855853345
-6.243782397508787,-5.8013196021058615,-8.317749569331113,-6.8859797845473105
-6.22253262389483,-5.801243394230311,-8.151823019024432,-6.88396881720128
-6.178696461366279,-5.772287475156446,-8.12879634281012,-6.809658136333729
-6.166950212986934,-5.727817069538284,-8.102649009449049,-6.791322047154327
-6.031319989233117,-5.674514002786947,-8.079549954942134,-6.768542437413344
-5.987460608436469,-5.664949226759905,-8.07665891707332,-6.758908768800312
-5.931236209006237,-5.6557999183688255,-7.936305683129097,-6.730472179339357
-5.918559051572558,-5.655351739625179,-7.905441876616668,-6.599055297869417
-5.916027853906608,-5.610239331109677,-7.754116277407662,-6.576575794615451
-5.843142177241062,-5.593323830193216,-7.732190592913395,-6.44224667685934
-5.8411561181767,-5.538475851142136,-7.690401967509367,-6.36764012115265
-5.789645093596745,-5.446890286285019,-7.682089485028359,-6.34628600887055
-5.706043588748689,-5.307712414704552,-7.670637680896585,-6.300339416841151
-5.695910611692597,-5.306017591383125,-7.556832198377343,-6.29421896541686
-5.549182045988454,-5.302295504325719,-7.55255312475049,-6.213288563118424
-5.478775358323309,-5.285046734896454,-7.425600642715287,-6.204196519770033
-5.371494179165386,-5.273562796765388,-7.377048007752498,-6.140058409980061
-5.145388105518563,-5.2456583311293725,-7.348117781586664,-6.1017662781569895
-5.0652801755936085,-5.2153657898345305,-7.344480843147,-6.082813386046393
-5.021001350562581,-5.074052881096774,-7.328400313846206,-6.044632828358746
-4.916380770198884,-5.066886703141393,-7.310157084859909,-6.036299629543011
-4.9039934550167255,-4.9771398620445755,-7.3066479718813016,-6.012132263409104
-4.887512472951586,-4.935950008041219,-7.305280279890365,-5.915832600690925
-4.879158805500164,-4.9014754711220085,-7.011309726814856,-5.885524624382715
-4.852628338760648,-4.877704906146635,-6.940345573791817,-5.846996593399014
-4.8178228815085,-4.716790688459409,-6.718606724136908,-5.840878641031791
-4.80485116325614,-4.712170360216345,-6.693440698286196,-5.773196790876299
-4.789692227552156,-4.685959416189355,-6.6494192953337805,-5.680988490929376
-4.731115809865538,-4.495375193885682,-6.647774984279412,-5.609971859934274
-4.725490442291284,-4.4289331760849535,-6.47203650645152,-5.555038690344038
-4.667207714419046,-4.338381691978846,-6.409973908182128,-5.545826420643628
-4.648560272560731,-4.321027369859657,-6.274701020409737,-5.5387120926352384
-4.587711146657651,-4.102428478604098,-6.26541876703693,-5.531185913240887
-4.530693119766669,-4.044736198208236,-6.261076174541355,-5.4776984668242354
-4.507387438877684,-4.007867024333799,-6.006213123277963,-5.471458280571947
-4.38700720505492,-3.9956836534845586,-5.8049314751984245,-5.441102625971714
-4.239399665265937,-3.968743363295535,-5.710201967364005,-5.408395099601007
-4.22786330720064,-3.956839708717872,-5.448302862091743,-5.375003364653125
-4.21740330201551,-3.9073901153836914,-5.255649614752178,-5.364531551966797
-4.214134633823595,-3.8368784088619967,-5.084539259383999,-5.343206301549499
-4.194738279292743,-3.7964280588031007,-5.014171215096085,-5.33654049396869
-4.139016872931804,-3.757170737892319,-4.974109430113249,-5.323851158523281
-4.090642613208063,-3.75467827675855,-4.943918399797561,-5.318587615536032
-3.9995392815840356,-3.716863752905023,-4.8099990911640145,-5.253685382131033
-3.6637154431919967,-3.6577192292806178,-4.776677959566936,-5.205850468471188
-3.6474036052758647,-3.560613075799674,-4.637233529284424,-5.193371155116912
-3.6285560843295634,-3.507839479415273,-4.58435744599843,-5.190438659237536
-3.5262159455108777,-3.4887739811666654,-4.558721743532999,-5.183472748425935
-3.458471230109797,-3.4629063979074437,-4.519905700298088,-5.176727183592554
-3.4370477434984688,-3.3495420738300243,-4.481122255983203,-5.151974736673267
-3.2642359373733134,-3.342031939715489,-4.200581168462763,-5.126701129640262
-3.2323560736719696,-3.240231642323349,-4.115864642837704,-5.12502748416504
-3.2224983995677676,-3.2305177134789425,-4.0665864786428,-5.077396887123971
-3.2139604304845903,-3.213083650311039,-4.063339647126665,-5.059241791025313
-3.1519176664321,-3.166775494282807,-3.9774614608782732,-5.019203161495391
-3.107745457579911,-3.119419297310296,-3.9766077748106605,-4.990775728000073
-3.085147339347718,-2.991239243180731,-3.8759111387128047,-4.988401918803482
-2.8817662963864388,-2.957580133270086,-3.847810263854158,-4.944477355859797
-2.8667012381655455,-2.881089606080826,-3.7129266427673597,-4.886983428950574
-2.8666695584068376,-2.860583893503745,-3.7093118053657497,-4.873848276940531
-2.722310917098265,-2.7297110460798963,-3.6341372503013023,-4.821517495843696
-2.6772519031779094,-2.66511064628212,-3.56851730679913,-4.807389408746552
-2.650590711104801,-2.5677124183483664,-3.5520052987000823,-4.770411829911944
-2.5378144848208044,-2.475078751747227,-3.464617696770744,-4.71430090895631
-2.416761184844944,-2.469899335267491,-3.43589760703612,-4.66742078206243
-2.193767934077478,-2.4325682982301258,-3.3302827121707326,-4.6315246932384895
-2.170702213509443,-2.421098360170972,-3.251580842958765,-4.626117768608219
-2.093946467951899,-2.3976066350290086,-3.1228006765130765,-4.6138455349426195
-2.079551651557552,-2.3873347043775155,-3.0788573963348638,-4.61223338775672
-2.0747522193104304,-2.274796112492079,-2.9762352473460387,-4.571583143024902
-2.0605184118788906,-2.172826712586006,-2.8878976741843356,-4.419066678496974
-1.9563322569265995,-2.1660554612549516,-2.8112654899646023,-4.379379857083635
-1.9239215398775285,-2.1285733476217388,-2.778712910481645,-4.324512336282304
-1.8987276098622465,-2.1264371257417425,-2.7725768473706185,-4.290232857162313
-1.8833600237251371,-2.034626359452068,-2.749440947175575,-4.279510287437907
-1.87546324261784,-1.9912798127482922,-2.7394462038263456,-4.268233774408332
-1.8480896043056774,-1.9744871608571999,-2.7024515817794352,-4.2595501279946015
-1.8255538151226522,-1.8948774520481497,-2.6982049653458997,-4.243541427038909
-1.7200327410708307,-1.8729005051677106,-2.684135743902216,-4.234485355497281
-1.7133088155154352,-1.840291613173589,-2.673577864832632,-4.1774374181256055
-1.4269938400321531,-1.8280494129971456,-2.5389226447435522,-4.15183766396417
-1.4174599600998201,-1.7905347264509406,-2.4043911115313445,-4.147983175620294
-1.376587232795834,-1.593399049635421,-2.3647813970627545,-4.109046107442188
-1.3666846194888704,-1.5911975273053611,-2.168078251582731,-4.096956846447267
-1.3005412562574215,-1.5818657121706066,-2.0703559944229655,-3.97338045255488
-1.2976246716814122,-1.4775125481407405,-1.9671486063495753,-3.954987397666248
-1.2471993967031998,-1.4571030116293526,-1.868541359301891,-3.9012534537075223
-1.1256281791140172,-1.4553049391777253,-1.7790092672414628,-3.8997743574241985
-1.0891055094989404,-1.3815008681966037,-1.7318360615922581,-3.893058583198264
-1.0539776225034292,-1.3748271711969071,-1.7230334045341484,-3.7965437873046177
-1.016886841759603,-1.2891194162134532,-1.60325731809531,-3.7775708133248784
-1.0019364662817,-1.2518133350082965,-1.5954559492664258,-3.756378021674633
-0.9776356934963532,-1.1943473286995034,-1.5476846365798338,-3.716405253994507
-0.9582368843971905,-1.1661646575945541,-1.3960143238060407,-3.712893958217412
-0.9487441909972552,-1.1587040495051733,-1.3282265355619514,-3.6881765681296637
-0.9387956839494581,-1.147807887253696,-1.2837550173550991,-3.6840340745436477
-0.9197466230637072,-1.0467124301690105,-1.2329642798456235,-3.6686762877528394
-0.8792708010070732,-1.0371021969869556,-1.1596599239049015,-3.646404945513786
-0.7919894816850471,-1.0164170375884112,-0.9775300968604654,-3.6219196395418245
-0.648725634227859,-0.9810153887846516,-0.9459969314513677,-3.55529045784791
-0.6136579122785101,-0.8998076637603529,-0.9219335441700861,-3.5310988216749744
-0.5255399896886773,-0.8916893022941684,-0.8758185257855188,-3.5309184770800783
-0.4373766803032886,-0.8912905079395299,-0.7593834227819468,-3.489578034146725
-0.3596488815119739,-0.8085112744144106,-0.6449059977070405,-3.433160600426546
-0.2978035837043415,-0.7824798962678139,-0.6412501160685342,-3.4097081476385345
-0.2689725521860038,-0.7636040116307614,-0.6095142696888676,-3.284375111503501
-0.2607849427240636,-0.7432076585998725,-0.5819279780293388,-3.2164122713496286
-0.23671797808472378,-0.6594678892434486,-0.5103988170592176,-3.1570703659154598
-0.1943594619634419,-0.646800236755276,-0.455969733749519,-3.1301874170795445
-0.16213369233457764,-0.605902046574136,-0.4346605269424302,-3.0211145600990505
-0.1591915343492023,-0.35501984164602235,-0.3947867354411525,-3.011840300162029
-0.13737756484057745,-0.3549244716704162,-0.38806557278423937,-2.9808278611430996
0.010080281180775991,-0.3083343705673988,-0.15267089998769998,-2.907031903688316
0.06274858807955408,-0.2733577676860683,-0.13704147000009032,-2.8858556404638898
0.07871778078769419,-0.2468794009589305,-0.12672656872076113,-2.864471734520949
0.10252165999565091,-0.14604518914591275,-0.0911182673341878,-2.501667401578307
0.15605548257769625,-0.07998667239213417,-0.05508631871021523,-2.469193389468576
0.1874189571419227,-0.06423198209848935,-0.04568847748001774,-2.4604741735395526
0.2126920165067722,-0.06307336079895165,0.0681864453182298,-2.407690926781567
0.22623168504414892,-0.03976147503107739,0.30514614456602707,-2.3881209932738257
0.22981411638041827,0.10881163190914882,0.35602538517952725,-2.288008949328996
0.25381234705989414,0.2151327959520436,0.36523993431611695,-2.1577438538010743
0.3216756357633509,0.2282242779700615,0.42640716397134615,-2.146871606026128
0.38649288403659215,0.25308110338731254,0.622818384644223,-2.097683729918191
0.3970195859877046,0.25701735782196045,0.6923323828935773,-2.0847123751923697
0.4084470228619188,0.2811365500207863,0.8167773726641554,-2.0361757176879385
0.4867630904953053,0.3042378005431929,0.8394843500075534,-2.0198184101632113
0.5111635905959759,0.3292006092835704,0.8974592752236376,-1.9983048111540342
0.5309611849133071,0.47403903954621796,0.9340070481719223,-1.9825438027389466
0.6075317748084756,0.6212000015126813,0.9348762166104494,-1.978839657433715
0.6288646620961331,0.751595718549106,1.1271261183460495,-1.9612252582858027
0.6392540743267603,0.7879310895597633,1.1352482298171827,-1.910825276688843
0.6567021280558156,0.8347728747973273,1.230883132294434,-1.8650472908182913
0.6911907008503749,0.8491666276979148,1.2382026777201973,-1.6789652464572355
0.7873703448863355,0.8723218467900711,1.244235498253309,-1.6417164237492328
0.873752315245187,0.884937124429368,1.338429988253636,-1.6065437943312866
0.8959961746062307,0.9399731320835336,1.3605842663353567,-1.5554511020901265
0.9640169800867121,1.1605614122918113,1.3634427167532912,-1.5331632479616777
0.9702616374311296,1.1808717378263698,1.3691870901969265,-1.5052439616192939
1.0240048544834686,1.2348305979797642,1.5522273726596179,-1.4738810079337767
1.1056024185481355,1.248384334339829,1.649207932135412,-1.4662029757525694
1.1505553802233766,1.4564346943934332,1.7429453239239137,-1.4138739543358712
1.2217341981327474,1.515654749438985,1.7709255715377028,-1.3821915416643988
1.2464915684443214,1.5327163996742712,1.7771830421712353,-1.2724734384057688
1.2944766657015785,1.5680633471603138,2.169033212540227,-1.2561744290108259
1.3048256948509616,1.6733495926590471,2.1848165734294316,-1.2133980205429105
1.476446042469704,1.6885352429155192,2.2461704014958204,-1.1929967581554055
1.4994518963887367,1.723746759789504,2.257892499857711,-1.180178006914919
1.5381697156019292,1.7596203271273811,2.3392853689041364,-0.9312531834470004
1.662907945555917,1.7719438199456847,2.3771101684092417,-0.8523448865735923
1.6731379551457146,1.7772194274946322,2.436008327602926,-0.816824170353052
1.7811653002725318,1.780040302215361,2.4964544586279223,-0.7938328740980765
1.8454778937586058,1.8148423747867728,2.5044861247985684,-0.7721773182810443
1.9631086655462793,1.8546797208103354,2.5322880344861454,-0.6950372830923836
2.0124684212883066,1.8969899138955713,2.6320351101277932,-0.5789900526933323
2.1023923088705794,1.9666143965459313,2.769585418664993,-0.5254864979154651
2.2093227048870197,2.045272801413323,2.803769422107286,-0.33837990213816527
2.2504008778497346,2.0646432600331504,2.8188700906326285,-0.3324894884274699
2.262337822099045,2.145700813797018,2.832034389585138,-0.33244470804073584
2.3323082120591816,2.2003316214853577,2.850466471082788,-0.28125182883012523
2.3469100479478926,2.206395943062157,2.8722935004098824,-0.2613991620660226
2.379205494025952,2.220359474401698,2.902742738049607,-0.232015450909876
2.5076787007371335,2.260151610982851,2.9808626080376612,-0.1563887055190385
2.670321349615499,2.3599348063657533,2.985154608454541,-0.1506777815673704
2.674489465445393,2.3655332596122673,3.2551529541106197,-0.13742618286344443
2.6844582657561213,2.462405363922144,3.3271337801807026,-0.12200390962939653
2.747835093105238,2.506092628049867,3.3509796155188027,-0.09611185768533272
2.763084770818971,2.509366529614973,3.46487934464428,-0.05611739219231728
2.8100009579071776,2.569744390050567,3.4715333852186694,-0.03906814308193264
3.0400018242700537,2.607388337739296,3.525658674072256,0.005745357059355944
3.0956164176024332,2.728056339719398,3.533101126364464,0.031686252001796415
3.169617534582149,2.786914707971417,3.9512012403420105,0.20948616799264996
3.17638215966633,2.7900717933619585,4.0664667531392515,0.31715696670570337
3.249981365104715,2.7947929760448793,4.215607380511671,0.3560668688825363
3.4149409900646543,2.8126335984070265,4.345263761429839,0.7226278051556557
3.5406711050300226,2.903372011837436,4.369221863327616,0.7536163199194069
3.5434384755293435,3.0848974672921807,4.379036903230582,0.8299797569906565
3.5657828493634254,3.219606161814055,4.4125874378130385,0.8509631201856223
3.5716980038290522,3.26072614057765,4.424228549804963,0.8588867923203134
3.637719500229752,3.282697554657659,4.448838952743286,1.0833030124797545
3.736694619498739,3.332627520180308,4.615334319223946,1.0940566912664829
3.974791884827696,3.393255274206833,4.727467849441844,1.1029608959181711
4.032158341157455,3.4841663060934773,4.873225865595466,1.1104790436600478
4.062814950033321,3.59596042413352,4.885528269698271,1.2047874883556513
4.081032325023034,3.6755699882772404,4.935258378046602,1.2629338420552774
4.1495986592897065,3.8060909248861705,5.005577246726567,1.3653509593876638
4.298723276136826,3.8098477821477417,5.074886608282468,1.385284474000131
4.401758084254662,3.877720653901518,5.218315804042853,1.4329725442909302
4.411464462195002,3.8928287676420235,5.308463705333591,1.434022634814467
4.424008063782285,3.9195010140642395,5.347577818885551,1.4633159003947116
4.426647448536251,4.036595678229644,5.599289012200368,1.5653858775023748
4.437440233362978,4.046201911476208,5.607094577935632,1.5738029988483093
4.493950993600999,4.065127957794457,5.619889639176357,1.6933874600223362
4.511434560808889,4.109993591242305,5.632049972719914,1.7466667847516737
4.5119805662453825,4.119182480075621,5.7300993780309275,1.8221376565248535
4.529150184695979,4.1577316730341165,5.822543109423462,1.846705403341662
4.563013063128874,4.409324347507987,5.906089939955645,1.8673742823878499
4.577753186247091,4.4583498408602145,5.9259939412670946,1.9074414039580576
4.665995986246829,4.523742601301744,5.928027297780245,1.915540870990987
4.788762290595091,4.524706052858899,5.943169931808841,2.0358955684521876
4.905648476493239,4.565015029056588,5.986553435389389,2.1090853753662016
4.9057571793283685,4.567878047574235,6.100857585335396,2.2261925238203952
4.940923678648777,4.596188231992516,6.179379753286033,2.3193845568233384
4.960288495439513,4.631409067387064,6.343016550841122,2.3332172727540974
5.081800555736194,4.639025963358343,6.379038119655714,2.4006331444756728
5.160733427650348,4.642216174421116,6.485492529422972,2.4234412599856916
5.185114556688468,4.644998502976008,6.557690862254955,2.5395567203117206
5.2220711936633935,4.672319556125704,6.569668788831016,2.5521691675264897
5.236803526189345,4.687354881941359,6.789348328490773,2.729130128121728
5.321547499578654,4.68811547575831,6.7932907266037965,2.7677638171073795
5.352710060773433,4.688870677451271,6.861059974909692,2.7717278577792004
5.356510520380219,4.725568566668949,6.872704185674639,2.7893096443121346
5.374838064212705,4.767156600557953,6.952068227533013,2.83622674807406
5.405835609943819,4.807902019447146,6.97794722708018,3.0239691034895606
5.40742392957883,4.889930452201322,7.034649272630315,3.1118168639255437
5.424887923804342,4.894900973184509,7.041057342617437,3.1385786819940975
5.441643868773244,4.936680629415826,7.191124461957701,3.2100665919589684
5.468118099264392,4.976340467703052,7.237619040230895,3.231057450412465
5.526014217398425,5.007965364407754,7.327479114668103,3.262570671035463
5.662991854969785,5.061064661725563,7.357813539541378,3.263009345637337
5.751421866137481,5.2955290665619685,7.378419785476846,3.336853508748556
5.8688034194955545,5.319546637056714,7.68150315134656,3.3475798620035775
5.941856847758472,5.320392508947594,7.746569447987516,3.3482479232143487
5.965856215735581,5.39702667199422,7.771451733548257,3.360546679317211
6.0272018577135675,5.440206877046702,7.849715876216267,3.3891102091268888
6.045611138228014,5.470220926145807,7.849829415741506,3.4173481770817027
6.0839540007094675,5.476019016612124,8.037803814482366,3.5323007515486893
6.087256477180006,5.5602276830622,8.105818422719645,3.7668649415918902
6.102710842344669,5.568546263108388,8.116799768488088,3.791199735745469
6.104129446978103,5.594484122170825,8.16628549665744,3.8067824785471642
6.123222677805869,5.632980138175208,8.192714417398141,3.8146972951170226
6.21325485945207,5.661112058632386,8.20568581944212,4.216315913446204
6.21533033841386,5.677360276689267,8.264383670697018,4.270638612179479
6.261253804007863,5.685936887133457,8.267494194950029,4.2861851997335485
6.317048423252233,5.6922348480859455,8.389825906117892,4.312399434516246
6.335903574932288,5.709206850515148,8.394885900549593,4.5302383266536586
6.521186848460925,5.760093706431412,8.435240802926291,4.602724502399729
6.832683800129057,5.917026902566954,8.508681764489598,4.661452478673212
6.841120136953018,5.955929368059467,8.603283104626204,4.735320490916912
6.898577531284326,5.969265509061402,8.68269101758298,4.8988737290485584
6.929365471645365,6.120395364193475,8.698424466868614,4.905461782667924
6.988620804815002,6.263659159595969,8.771336282794216,5.1473608610557475
7.03754167793006,6.354606576882543,8.781090348170808,5.203609998978588
7.043528749282024,6.363392236335272,8.786551632170301,5.304818012954765
7.099221817775944,6.373654707753661,8.841030840100988,5.3919557679598995
7.181396986450803,6.408987571287648,8.897939354516382,5.401250025765099
7.202065756561994,6.434242948627572,8.909410401684642,5.4021775927753914
7.297953838225073,6.450446310588903,8.937077257376464,5.437960965763015
7.430412606617734,6.480178898586361,8.988010391227897,5.479953044982668
7.448936726509496,6.743344821414078,9.078784803648274,5.590922975055492
7.503146880458651,6.789915690181571,9.086885439630565,5.696847892496628
7.5458719442559685,6.805937035898127,9.109214552906984,5.79096745124752
7.606320405254252,6.935570569461342,9.179055180808424,5.80828344458048
7.709443684565941,7.056933557894341,9.317973489486382,5.850559401948074
