"H1N1","temp","prec","humi","popd","gdpd","rdds","sensepop","urbanpop","medicost","Georegion"
1.09,19.217,1217.977,40.0691,62.82,0.1422,13.88,28.0352,40.48,77.7068,"W"
1.09,19.307,1127.821,22.1862,68.51,0.2216,20.19,28.0352,40.48,77.7068,"W"
1.09,18.247,1007.08,14.196,158.33,0.4464,31.54,28.0352,40.48,77.7068,"W"
1.09,17.831,973.418,11.5926,139.42,0.3569,26.34,28.0352,40.48,77.7068,"W"
1.09,17.687,1069.233,30.4882,121.91,0.3079,16.55,28.0352,40.48,77.7068,"W"
1.09,19.065,1128.884,22.1495,83.42,0.2521,12.98,28.0352,40.48,77.7068,"W"
2.04,20.834,1213.872,21.1278,84.84,0.3371,18.37,30.7623,44.81,73.333,"W"
2.04,20.569,1355.266,25.7521,115.03,0.3866,16.55,30.7623,44.81,73.333,"W"
2.04,20.306,1491.216,31.6871,148.88,0.5711,19.31,30.7623,44.81,73.333,"W"
2.04,20.973,1627.68,23.4374,346.84,1.2867,31.87,30.7623,44.81,73.333,"W"
2.04,19.83,1920.506,58.2426,149.31,0.5189,13.36,30.7623,44.81,73.333,"W"
2.04,20.182,1994.074,47.3347,159.67,0.6428,19.15,30.7623,44.81,73.333,"W"
1.45,19.807,2051.954,61.442,177.98,0.7277,21.26,23.9246,67.76,64.8081,"S"
1.45,20.841,2076.103,78.1916,286.79,1.111,44.96,23.9246,67.76,64.8081,"S"
1.45,20.594,2196.362,79.8436,192.69,0.726,34.83,23.9246,67.76,64.8081,"S"
1.45,21.55,2213.98,64.3434,285.03,1.3658,35.83,23.9246,67.76,64.8081,"S"
1.45,22.079,2172.304,50.6171,604.72,2.1093,60.39,23.9246,67.76,64.8081,"S"
1.84,22.634,2004.213,47.7612,503.86,2.5197,48.53,25.0161,60.77,71.9886,"S"
1.09,18.36,1468.41,95.5555,120.72,0.3829,31.9,28.0352,40.48,77.7068,"W"
1.09,18.006,1195.754,56.7338,127.54,0.362,24.22,28.0352,40.48,77.7068,"W"
1.09,17.38,965.487,25.9463,104.94,0.3144,18.58,28.0352,40.48,77.7068,"W"
1.09,17.821,849.009,22.6369,79.07,0.2402,17.47,28.0352,40.48,77.7068,"W"
1.09,16.647,830.958,25.9871,558.28,1.6209,70.14,28.0352,40.48,77.7068,"W"
1.09,16.395,905.296,30.4538,236.6,0.6536,34.57,28.0352,40.48,77.7068,"W"
1.09,17.156,1102.939,73.9542,142.92,0.4648,24.03,28.0352,40.48,77.7068,"W"
2.04,18.604,1063.002,38.1554,134.92,0.3488,23.7,30.7623,44.81,73.333,"W"
2.04,19.388,1072.294,31.8079,57.69,0.1549,12.67,30.7623,44.81,73.333,"W"
2.04,19.216,1248.08,38.7282,73.22,0.2743,14.34,30.7623,44.81,73.333,"W"
2.04,19.489,1391.45,33.8445,91.44,0.366,15.63,30.7623,44.81,73.333,"W"
2.04,20.098,1597.151,48.7269,124.8,0.4407,15.56,30.7623,44.81,73.333,"W"
2.04,19.605,1847.039,59.9912,250.24,0.9968,26.81,30.7623,44.81,73.333,"W"
2.04,18.727,1937.115,49.3808,158.9,0.6115,16.77,30.7623,44.81,73.333,"W"
1.45,18.425,1964.004,59.0802,137.36,0.5904,23.88,23.9246,67.76,64.8081,"S"
1.45,19.064,1839.092,52.6534,205.82,0.7755,33.62,23.9246,67.76,64.8081,"S"
1.45,19.646,1734.498,60.9554,115.44,0.4946,23.61,23.9246,67.76,64.8081,"S"
0.77,20.254,1704.455,67.7252,172.66,0.6552,20.56,28.705,48.87,70.2393,"S"
1.84,20.893,1912.64,61.7073,152.26,0.8074,37.67,25.0161,60.77,71.9886,"S"
1.84,20.626,1955.359,56.5069,256.02,1.866,48.74,25.0161,60.77,71.9886,"S"
1.84,21.805,1640.117,40.0174,1196.09,8.7353,135.62,25.0161,60.77,71.9886,"S"
1.09,15.958,1375.013,64.747,100.56,0.3022,17.6,28.0352,40.48,77.7068,"W"
1.09,15.395,1045.526,32.6311,121.38,0.3152,23.95,28.0352,40.48,77.7068,"W"
1.09,15.782,770.863,18.585,207.31,0.6106,32.03,28.0352,40.48,77.7068,"W"
1.09,16.709,742.485,6.4283,122.2,0.367,21.68,28.0352,40.48,77.7068,"W"
1.09,16.231,784.131,16.9016,116.29,0.3027,22.22,28.0352,40.48,77.7068,"W"
1.09,15.149,877.915,27.5452,192.86,0.6481,30.82,28.0352,40.48,77.7068,"W"
1.16,14.845,1017.45,69.263,235.01,0.58,26.87,31.3683,37.83,79.1247,"W"
1.16,17.149,956.533,75.069,201.3,0.4969,32.6,31.3683,37.83,79.1247,"W"
1.16,17.519,945.522,46.9756,122.07,0.281,18.9,31.3683,37.83,79.1247,"W"
1.16,17.196,1174.913,45.4117,94.21,0.2835,16.97,31.3683,37.83,79.1247,"W"
1.16,17.392,1391.905,35.8731,79.09,0.1691,11.84,31.3683,37.83,79.1247,"W"
1.16,18.085,1509.2,52.6408,99.08,0.3223,13.16,31.3683,37.83,79.1247,"W"
2.04,17.141,1731.58,75.6758,94.96,0.343,15.88,30.7623,44.81,73.333,"W"
2.04,18.404,1664.634,59.9328,196.64,0.8431,18.62,30.7623,44.81,73.333,"W"
1.25,18.755,1534.632,51.4286,260.71,1.188,24.51,28.8397,47.96,62.0203,"S"
1.25,18.343,1474.033,60.4667,233.16,0.9617,29.92,28.8397,47.96,62.0203,"S"
0.77,18.712,1442.789,66.9281,185.1,0.8393,24.71,28.705,48.87,70.2393,"S"
0.77,20.184,1377.93,54.6523,314.76,1.1151,29.75,28.705,48.87,70.2393,"S"
1.84,19.6,1517.23,75.3876,160.83,0.861,33.89,25.0161,60.77,71.9886,"S"
1.84,18.995,1641.357,66.8511,84.01,0.5777,30.14,25.0161,60.77,71.9886,"S"
1.84,19.002,1538.007,85.1224,200.71,1.461,35.92,25.0161,60.77,71.9886,"S"
1.84,20.315,1286.014,45.4922,825.76,6.5811,81.13,25.0161,60.77,71.9886,"S"
1.09,12.35,1061.151,35.2365,49.69,0.1235,10.04,28.0352,40.48,77.7068,"W"
1.09,14.432,824.047,20.9314,113.98,0.3134,19.58,28.0352,40.48,77.7068,"W"
1.09,16.719,891.997,20.7428,117.81,0.8029,21.04,28.0352,40.48,77.7068,"W"
0.31,16.792,911.265,31.6779,108.69,0.8446,20.23,29.3092,44.9,72.8208,"W"
1.09,14.7,892.828,16.7915,149.08,0.4658,23.12,28.0352,40.48,77.7068,"W"
1.09,13.921,874.636,44.02,236.92,0.642,19.77,28.0352,40.48,77.7068,"W"
1.16,14.862,905.797,67.1118,301.66,0.6862,27.09,31.3683,37.83,79.1247,"W"
1.16,15.787,903.018,49.9476,561.98,1.3886,56.67,31.3683,37.83,79.1247,"W"
1.16,15.899,1143.12,42.9934,185.94,0.3635,30.7,31.3683,37.83,79.1247,"W"
1.16,16.272,1295.071,35.4586,140.66,0.341,25.06,31.3683,37.83,79.1247,"W"
1.16,17.102,1327.631,44.8958,115.26,0.4449,17.34,31.3683,37.83,79.1247,"W"
1.25,16.969,1343.738,60.1456,195.27,0.9617,23.42,28.8397,47.96,62.0203,"S"
1.25,18.354,1257.903,49.1711,356.35,1.6512,31.04,28.8397,47.96,62.0203,"S"
1.25,19.614,1118.521,44.5872,547.14,2.4575,42.19,28.8397,47.96,62.0203,"S"
1.25,19.433,1296.693,58.8484,310.61,1.1401,35.25,28.8397,47.96,62.0203,"S"
0.77,18.817,1432.336,64.7575,173.5,0.7151,29.01,28.705,48.87,70.2393,"S"
0.77,19.356,1342.171,60.1084,232.61,0.8333,30.13,28.705,48.87,70.2393,"S"
0.77,18.898,1367.64,82.8908,159.61,0.6795,28.36,28.705,48.87,70.2393,"S"
1.84,18.667,1466.148,81.8531,110.35,0.7543,30.44,25.0161,60.77,71.9886,"S"
1.84,18.869,1502.495,70.6326,134.9,0.9093,36.28,25.0161,60.77,71.9886,"S"
1.84,18.457,1506.878,73.6335,493.73,2.1922,50.69,25.0161,60.77,71.9886,"S"
1.09,10.55,1099.697,55.9984,37.12,0.109,8.73,28.0352,40.48,77.7068,"W"
1.09,10.375,891.237,41.4748,50.64,0.1451,17.61,28.0352,40.48,77.7068,"W"
0.31,12.908,977.973,37.1077,54.58,0.3484,10.22,29.3092,44.9,72.8208,"W"
0.31,14.677,1070.326,32.8724,91.75,0.732,17.66,29.3092,44.9,72.8208,"W"
1.09,13.961,1087.806,20.3386,195.12,0.8068,25.08,28.0352,40.48,77.7068,"W"
1.09,14.29,1073.443,22.8144,209.02,0.5353,20.87,28.0352,40.48,77.7068,"W"
1.09,14.65,1042.818,40.6333,333.34,0.9644,26.25,28.0352,40.48,77.7068,"W"
1.16,16.168,884.899,27.2868,208.47,0.6635,23.69,31.3683,37.83,79.1247,"W"
1.16,16.688,935.136,32.5236,289.3,0.6316,28.71,31.3683,37.83,79.1247,"W"
1.16,16.469,1070.412,24.0736,133.59,0.3444,18.06,31.3683,37.83,79.1247,"W"
1.16,17.324,1267.832,38.3277,179.72,0.6415,26.27,31.3683,37.83,79.1247,"W"
1.25,17.355,1286.466,67.9819,270.84,1.1726,26.48,28.8397,47.96,62.0203,"S"
1.25,17.428,1244.831,57.7714,466.97,2.0614,36.01,28.8397,47.96,62.0203,"S"
1.25,18.877,1173.806,67.8754,449.84,1.9513,48.05,28.8397,47.96,62.0203,"S"
1.25,19.209,1291.565,60.3383,592.73,2.4062,63.37,28.8397,47.96,62.0203,"S"
0.77,18.573,1433.896,74.1419,300.5,1.0744,43.07,28.705,48.87,70.2393,"S"
0.77,19.368,1399.057,76.9272,281.94,1.0611,39.05,28.705,48.87,70.2393,"S"
0.77,19.086,1495.505,85.5224,231.01,0.8995,33.67,28.705,48.87,70.2393,"S"
1.84,17.835,1656.629,107.3618,77.03,0.4252,25.23,25.0161,60.77,71.9886,"S"
1.84,18.782,1623.922,88.1766,107.47,0.8101,30.42,25.0161,60.77,71.9886,"S"
1.84,16.704,1761.11,122.5074,118.92,0.9212,31.9,25.0161,60.77,71.9886,"S"
0.93,18.512,1641.656,95.9078,560.5,5.5218,74.59,21.1367,64,77.2942,"S"
0.03,12.979,525.542,1.6737,37.16,0.0382,0,28.4272,23.71,156.466,"W"
0.03,17.253,564.088,-0.1345,36.86,0.091,0,28.4272,23.71,156.466,"W"
0.03,8.431,1198.738,40.0028,3.04,0.0076,0,28.4272,23.71,156.466,"W"
1.09,7.761,998.141,56.5132,14.58,0.0538,7.12,28.0352,40.48,77.7068,"W"
0.31,7.337,799.415,31.2113,10.54,0.0423,5.16,29.3092,44.9,72.8208,"W"
0.31,9.398,925.4,45.1699,15.52,0.1168,6.86,29.3092,44.9,72.8208,"W"
0.31,11.912,1082.918,49.3269,136.39,1.0649,15.95,29.3092,44.9,72.8208,"W"
0.31,11.484,1221.713,36.1203,87.96,0.6048,14.95,29.3092,44.9,72.8208,"W"
1.09,17.1,1203.48,20.3491,267.06,1.8432,27.45,28.0352,40.48,77.7068,"W"
0.31,18.272,1160.124,33.2587,313.94,2.6305,29.73,29.3092,44.9,72.8208,"W"
1.16,17.356,1082.727,31.8708,206.45,1.0897,21.13,31.3683,37.83,79.1247,"W"
1.16,16.287,1004.011,40.2614,145.49,0.4554,22.26,31.3683,37.83,79.1247,"W"
1.16,16.712,1035.322,32.08,142.08,0.5109,18.62,31.3683,37.83,79.1247,"W"
1.24,17.057,1259.667,49.7754,196.2,0.9669,25.93,28.8471,58.34,80.7972,"W"
1.25,17.484,1360.407,56.1407,106.66,0.4209,20.41,28.8397,47.96,62.0203,"S"
1.25,17.837,1372.165,69.3054,182.83,0.8913,27.84,28.8397,47.96,62.0203,"S"
1.25,18.82,1266.871,56.7515,481.5,2.1594,51.05,28.8397,47.96,62.0203,"S"
1.25,18.789,1303.229,56.5032,720.13,2.8241,80.89,28.8397,47.96,62.0203,"S"
0.77,18.092,1435.872,85.8655,149.24,0.5347,28.43,28.705,48.87,70.2393,"S"
0.77,19.045,1449.876,72.1566,628.98,2.3962,65.11,28.705,48.87,70.2393,"S"
0.77,19.467,1572.948,74.0574,533.1,1.4686,57.73,28.705,48.87,70.2393,"S"
0.77,19.013,1690.615,97.1715,297.11,1.1916,38.52,28.705,48.87,70.2393,"S"
0.77,17.821,1651.079,92.7374,266.44,1.2083,40.82,28.705,48.87,70.2393,"S"
0.93,17.142,1613.979,76.6089,122.71,1.1516,40.23,21.1367,64,77.2942,"S"
0.93,17.581,1577.744,81.3706,745.66,6.185,78.68,21.1367,64,77.2942,"S"
0.03,-0.338,645.601,-0.9236,5.44,0.0136,1.58,28.4272,23.71,156.466,"W"
0.03,7.574,591.516,-8.4453,6.23,0.016,0,28.4272,23.71,156.466,"W"
0.03,13.433,633.964,13.3732,14.14,0.0329,0,28.4272,23.71,156.466,"W"
0.03,16.927,710.57,23.9291,13.75,0.0323,0,28.4272,23.71,156.466,"W"
0.03,11.382,904.86,32.3891,2.84,0.0036,0,28.4272,23.71,156.466,"W"
0.03,7.503,921.024,29.2469,1.56,0.0054,1.6,28.4272,23.71,156.466,"W"
0.03,3.878,884.287,28.5609,1.91,0.0091,0,28.4272,23.71,156.466,"W"
1.09,6.506,691.915,2.3449,8.12,0.0465,5.82,28.0352,40.48,77.7068,"W"
0.31,4.977,721.993,30.3589,6.36,0.0448,5.61,29.3092,44.9,72.8208,"W"
0.31,4.852,962.955,53.7843,4.94,0.0221,1.18,29.3092,44.9,72.8208,"W"
0.31,6.807,1226.753,34.8296,26.29,0.2789,5.97,29.3092,44.9,72.8208,"W"
0.31,13.122,1227.734,71.0166,134.18,1.055,17.69,29.3092,44.9,72.8208,"W"
0.31,18.473,1160.845,31.7965,334.72,2.8196,32.31,29.3092,44.9,72.8208,"W"
0.31,19.084,1142.943,22.2907,688.4,5.1537,48.6,29.3092,44.9,72.8208,"W"
1.24,19.457,1095.369,17.5535,1012.21,7.8072,92.85,28.8471,58.34,80.7972,"W"
1.24,17.69,1114.68,32.9889,271.62,2.1167,47.55,28.8471,58.34,80.7972,"W"
1.24,16.334,1126.331,36.2323,121.94,0.9066,25.14,28.8471,58.34,80.7972,"W"
0.38,16.215,1293.133,69.84,144.91,0.6659,22.31,24.8517,54.51,67.2963,"S"
1.25,16.28,1434.895,65.707,128.96,0.5565,22.16,28.8397,47.96,62.0203,"S"
1.25,18.092,1394.838,51.3866,337.24,1.3613,36.69,28.8397,47.96,62.0203,"S"
1.25,18.865,1262.382,43.673,420.84,1.7004,35.49,28.8397,47.96,62.0203,"S"
1.25,18.65,1229.505,58.5444,433.27,1.6875,42.87,28.8397,47.96,62.0203,"S"
0.38,17.996,1305.757,70.6823,206.99,0.9165,30.41,24.8517,54.51,67.2963,"S"
0.77,18.056,1310.014,70.7666,267.63,1.182,38.09,28.705,48.87,70.2393,"S"
0.77,18.843,1471.059,72.4694,380.07,1.041,36.25,28.705,48.87,70.2393,"S"
0.77,18.295,1578.641,95.6664,222.75,0.8141,38.01,28.705,48.87,70.2393,"S"
0.93,17.749,1481.65,92.1166,183.04,1.5645,49.67,21.1367,64,77.2942,"S"
0.93,18.17,1418.79,65.6547,436.46,4.5293,103.83,21.1367,64,77.2942,"S"
0.93,17.356,1572.406,81.8259,405.25,3.0421,97.28,21.1367,64,77.2942,"S"
0.93,17.838,1558.963,94.1479,577.4,4.416,98.56,21.1367,64,77.2942,"S"
0.03,-1.481,872.606,60.2305,2.75,0.0051,1.88,28.4272,23.71,156.466,"W"
0.03,0.101,588.216,-5.6289,3.69,0.0127,3.82,28.4272,23.71,156.466,"W"
0.03,0.71,532.023,-5.0164,3.89,0.0121,2.99,28.4272,23.71,156.466,"W"
0.03,0.527,528.477,-1.3635,5.78,0.0213,3.63,28.4272,23.71,156.466,"W"
0.03,0.289,547.091,-14.7212,6.51,0.0177,4.06,28.4272,23.71,156.466,"W"
0.03,2.214,572.41,-14.5411,9.01,0.0254,5.96,28.4272,23.71,156.466,"W"
0.03,3.494,618.535,-15.2788,12.64,0.0394,6.76,28.4272,23.71,156.466,"W"
0.03,3.318,726.033,-0.1092,4.29,0.0165,2.09,28.4272,23.71,156.466,"W"
0.03,4.308,813.504,21.0381,4.83,0.0227,2.95,28.4272,23.71,156.466,"W"
0.03,8.779,827.819,27.5089,4.7,0.0084,2.44,28.4272,23.71,156.466,"W"
0.03,5.736,920.165,42.2212,2.12,0.0069,1.5,28.4272,23.71,156.466,"W"
0.03,3.104,790.973,23.2262,2.37,0.0112,2.71,28.4272,23.71,156.466,"W"
0.03,4.115,635.783,6.3757,5.56,0.0177,3.12,28.4272,23.71,156.466,"W"
0.03,5.404,657.62,-5.6314,8.05,0.0352,3.9,28.4272,23.71,156.466,"W"
0.31,3.635,783.541,40.625,5.88,0.0509,2.94,29.3092,44.9,72.8208,"W"
0.31,4.785,943.721,48.46,7.69,0.0575,3.73,29.3092,44.9,72.8208,"W"
0.31,5.368,1248.2,49.9988,23.37,0.186,6.59,29.3092,44.9,72.8208,"W"
0.31,15.285,1219.863,77.6666,233.64,2.0432,32.94,29.3092,44.9,72.8208,"W"
0.31,18.178,1204.123,25.5733,768.88,6.8676,77.62,29.3092,44.9,72.8208,"W"
0.31,18.569,1124.665,15.718,492.25,3.7636,36.28,29.3092,44.9,72.8208,"W"
1.24,19.155,1073.213,19.6926,508.72,3.6267,45.84,28.8471,58.34,80.7972,"W"
0.31,18.748,1179.342,35.1556,407,2.9826,39.55,29.3092,44.9,72.8208,"W"
1.24,17.066,1196.492,41.7606,275.44,2.1717,35.63,28.8471,58.34,80.7972,"W"
0.38,15.329,1287.473,73.4611,144.17,0.8055,27.93,24.8517,54.51,67.2963,"S"
0.38,13.875,1457.784,110.5487,87.51,0.4198,22.92,24.8517,54.51,67.2963,"S"
0.38,17.372,1330.647,45.8319,324.85,1.5646,41.5,24.8517,54.51,67.2963,"S"
0.38,18.549,1210.626,31.7832,414.56,1.8975,46.29,24.8517,54.51,67.2963,"S"
0.38,18.518,1213.204,44.5281,456.43,2.1343,50.63,24.8517,54.51,67.2963,"S"
0.38,18.504,1216.043,56.2126,1308.34,5.56,97.78,24.8517,54.51,67.2963,"S"
0.38,17.944,1189.713,59.91,490.16,1.988,45.3,24.8517,54.51,67.2963,"S"
0.26,18.121,1391.478,70.2977,337.88,1.226,36.7,28.9903,47.86,72.7017,"S"
0.26,17.303,1523.432,99.6784,163.03,0.4869,29.9,28.9903,47.86,72.7017,"S"
0.26,16.649,1447.043,102.0772,139.93,0.5352,35.72,28.9903,47.86,72.7017,"S"
0.93,17.216,1424.311,88.2787,409.74,5.4863,90.45,21.1367,64,77.2942,"S"
0.93,17.917,1506.285,62.3842,1251.51,9.0753,205.98,21.1367,64,77.2942,"S"
0.93,17.752,1459.751,65.0817,1226.79,9.6107,198.37,21.1367,64,77.2942,"S"
0.03,-0.247,732.914,27.4394,2.25,0.0089,3.18,28.4272,23.71,156.466,"W"
0.03,1.62,496.155,-16.5606,5.06,0.0181,3.77,28.4272,23.71,156.466,"W"
0.03,3.697,478.532,-17.1825,11.24,0.0345,5,28.4272,23.71,156.466,"W"
0.03,4.019,512.559,-4.8133,23.79,0.066,5.77,28.4272,23.71,156.466,"W"
0.03,2.397,577.194,-18.7806,11.49,0.0321,5.67,28.4272,23.71,156.466,"W"
0.03,3.946,608.064,-11.2518,50.31,0.1487,10.91,28.4272,23.71,156.466,"W"
0.03,3.296,697.235,-3.9376,11.56,0.0343,4.16,28.4272,23.71,156.466,"W"
0.03,1.389,780.753,33.4853,2.89,0.0048,1.65,28.4272,23.71,156.466,"W"
0.03,2.461,807.087,44.8414,2.44,0.012,1.74,28.4272,23.71,156.466,"W"
0.03,3.459,856.516,29.1211,1.22,0.0047,1.16,28.4272,23.71,156.466,"W"
0.03,1.891,854.148,20.7421,4.37,0.0132,2.04,28.4272,23.71,156.466,"W"
0.03,3.237,693.403,10.525,3.42,0.0093,2.87,28.4272,23.71,156.466,"W"
0.03,4.779,653.131,1.3945,7.44,0.0268,2.52,28.4272,23.71,156.466,"W"
0.03,5.614,718.92,7.4631,4.84,0.0224,6.38,28.4272,23.71,156.466,"W"
0.31,3.816,813.978,25.398,5.74,0.0429,3.97,29.3092,44.9,72.8208,"W"
0.31,4.348,840.871,21.7123,7.29,0.0539,3.61,29.3092,44.9,72.8208,"W"
0.31,5.152,1078.81,5.2727,13.82,0.1085,4.81,29.3092,44.9,72.8208,"W"
0.31,5.902,1421.59,25.6057,23.65,0.1932,8.2,29.3092,44.9,72.8208,"W"
0.31,15.954,1271.597,25.1094,1256.85,8.9137,128.2,29.3092,44.9,72.8208,"W"
0.31,18.087,1225.319,16.0914,495.14,3.628,50.43,29.3092,44.9,72.8208,"W"
0.31,18.598,1148.584,22.098,518.85,3.8691,40.33,29.3092,44.9,72.8208,"W"
0.31,18.478,1229.105,37.0389,432.72,3.3842,29.39,29.3092,44.9,72.8208,"W"
1.24,17.457,1211.895,38.9048,321.42,2.1821,27.18,28.8471,58.34,80.7972,"W"
1.24,15.792,1084.886,33.1093,180.6,1.1624,25.06,28.8471,58.34,80.7972,"W"
0.38,13.961,1106.353,46.4461,95.09,0.5314,17.17,24.8517,54.51,67.2963,"S"
0.38,15.195,1092.133,19.5657,106.3,0.383,22.39,24.8517,54.51,67.2963,"S"
0.38,17.653,1007.679,12.6991,231.27,1.0476,32.82,24.8517,54.51,67.2963,"S"
0.38,17.494,994.253,23.2234,380.53,2.0319,41.11,24.8517,54.51,67.2963,"S"
0.38,17.618,1063.757,44.5219,390.22,1.6218,48.8,24.8517,54.51,67.2963,"S"
0.38,16.189,1156.754,56.5329,169.77,0.5492,26.67,24.8517,54.51,67.2963,"S"
0.26,16.354,1237.44,67.264,266.41,1.001,41.53,28.9903,47.86,72.7017,"S"
0.26,17.795,1153.798,57.3353,471.53,1.4942,52.71,28.9903,47.86,72.7017,"S"
0.26,17.641,1166.116,59.8975,466.9,1.9439,61.87,28.9903,47.86,72.7017,"S"
0.93,17.484,1198.808,62.1857,404.17,3.5908,84.31,21.1367,64,77.2942,"S"
0.93,17.753,1241.148,42.4227,1442.92,16.2596,233.31,21.1367,64,77.2942,"S"
0.03,-0.489,741.922,-32.6602,1.28,0.0036,3.41,28.4272,23.71,156.466,"W"
0.03,-1.198,650.37,-19.9118,0.74,0.0019,3.48,28.4272,23.71,156.466,"W"
0.03,-0.124,541.389,-16.8048,1.19,0.0037,2.74,28.4272,23.71,156.466,"W"
0.03,0.75,529.174,-16.0064,2.36,0.007,0.36,28.4272,23.71,156.466,"W"
0.03,0.47,563.402,-10.6332,1.86,0.0044,1.11,28.4272,23.71,156.466,"W"
0.03,-0.408,597.043,-8.3881,2.07,0.0035,0.97,28.4272,23.71,156.466,"W"
0.03,-0.01,609.827,3.0869,3.81,0.0183,3.79,28.4272,23.71,156.466,"W"
0.03,-0.376,677.843,15.2724,4.09,0.0083,3.64,28.4272,23.71,156.466,"W"
0.03,-0.761,734.932,51.7424,3.11,0.0095,3.08,28.4272,23.71,156.466,"W"
0.03,-0.948,801.852,63.503,3.81,0.0102,1.53,28.4272,23.71,156.466,"W"
0.03,1.005,805.435,32.1257,5.4,0.0127,2.78,28.4272,23.71,156.466,"W"
0.03,1.97,751.175,17.9223,7.36,0.0236,2.9,28.4272,23.71,156.466,"W"
0.03,2.793,708.441,5.5816,13.05,0.0403,4.21,28.4272,23.71,156.466,"W"
0.03,3.271,755.107,9.1499,7.01,0.0166,2.97,28.4272,23.71,156.466,"W"
0.31,2.715,824.594,23.8275,10.03,0.0607,5.4,29.3092,44.9,72.8208,"W"
0.31,2.86,817.001,34.2393,9.71,0.0675,4.17,29.3092,44.9,72.8208,"W"
0.31,3.788,794.326,39.459,8.42,0.0609,4.5,29.3092,44.9,72.8208,"W"
0.31,5.732,827.207,27.6471,11.2,0.0906,3.36,29.3092,44.9,72.8208,"W"
0.31,4.334,1062.557,39.0277,9,0.0694,5.45,29.3092,44.9,72.8208,"W"
0.31,8.769,1270.09,38.3359,38.61,0.2736,7.6,29.3092,44.9,72.8208,"W"
0.31,15.727,1382.717,26.1717,152.86,1.0897,28.96,29.3092,44.9,72.8208,"W"
0.31,16.785,1359.101,34.5401,203.08,1.6042,24.9,29.3092,44.9,72.8208,"W"
0.31,16.058,1293.501,48.4243,238.25,1.6048,21.19,29.3092,44.9,72.8208,"W"
0.31,14.36,1162.893,55.2421,94.31,0.5973,14.6,29.3092,44.9,72.8208,"W"
0.63,13.142,968.207,35.66,71.9,0.3751,15.47,24.9107,51.31,82.7802,"W"
0.38,14.6,852.892,18.5083,99.71,0.6042,18.74,24.8517,54.51,67.2963,"S"
0.38,15.416,814.264,12.491,185.21,0.9256,23.81,24.8517,54.51,67.2963,"S"
